作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
少女终末旅行,shoujo_shuumatsu_ryokou_tv_2017,2017 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,文明崩溃与战争遗迹、枪械及以武器争夺食物、生存物资短缺、高处坠落等危险、死亡与孤独议题；有共同沐浴等身体接近场景，但所核台词未把它们命名为恋爱或性行为。,有精确条目,162,0.08985463202147596
斩服少女,kill_la_kill_tv_2013,2013 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,高频裸露与性化变身、未成年人被性化展示、带性意味的强制身体接触与亲属间侵犯、家庭虐待、人体实验、精神操控、校园霸凌、严重暴力、身体恐怖及角色死亡。,有精确条目,186,0.019052344331431405
电脑线圈,dennou_coil_tv_2007,2007 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,儿童死亡与丧亲、交通事故、内疚与哀伤、校园排斥和欺凌、儿童被利用及陷入危险、意识分离与昏迷、惊悚追逐、虚拟宠物受损与离别。,有精确条目,187,0.008486658972095865
剧场版 魔法少女小圆 [后篇] 永远的物语,mahou_shoujo_madoka_magica_eternal_movie_2012,2012 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,副线,死亡与身体／灵魂异化、绝望与自我牺牲、时间循环、记忆重置、心理恐怖和悲剧性结局。,有精确条目,188,0.047012415933781686
超时空辉夜姬！,chou_kaguya_hime_web_film_2026,2026 WEB 动画电影,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,家庭冲突与疏离、过劳、生存式战斗、离别与幻想性死亡、长时间跨度、AI／人格连续性议题。,有精确条目,192,0.14994096812278632
琉璃的宝石,ruri_no_houseki_tv_2025,2025 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,户外采集中的陡坡、河流、海岸与废弃设施风险；锤击取样、酸液及实验操作；少量温泉洗浴场景；本次 TV 范围没有女女恋爱确认。,有精确条目,193,0.01886115320200973
Heart Catch 光之美少女！,heartcatch_precure_tv_2010,2010 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,—,—,副线,幻想战斗、受伤与角色死亡、亲人离世和失踪、反派利用人物心理痛苦、误认性别引发的恋爱笑点。,有精确条目,199,0.019153225806451613
剧场版 吹响吧！上低音号～誓言的终章～,hibike_euphonium_chikai_no_finale_movie_2019,2019 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,副线,异性告白与关系暂缓、低音部选拔冲突、孤立和哭泣、比赛压力、对重要关系终将分离的焦虑。,有精确条目,201,0.032102805987389904
剧场版 吹响吧！上低音号～想要传达的旋律～,hibike_euphonium_todoketai_melody_movie_2017,2017 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,副线,家庭冲突、退部危机、前后辈依恋、毕业离别和把音乐仰慕读成恋爱的风险。,有精确条目,203,0.03319375713741911
悠哉日常大王 Repeat,non_non_biyori_repeat_tv_2015,2015 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,主要角色为小学生和中学生；含夜间迷路、泳池清扫、泳装及儿童成长笑料；萤对小鞠的对象固定倾慕以玩偶、礼物和害羞的喜剧节奏呈现，本季没有女女交往确认。,有精确条目,204,0.03529758397171479
向山进发 Next Summit,yama_no_susume_next_summit_tv_2022,2022 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,登山、恶劣天气与高山反应风险；童年坠落造成的恐高；第 4 话的吃醋与分离不安不等于已交往。,有精确条目,205,0.10247442511148028
悠哉日常大王,non_non_biyori_tv_2013,2013 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,主要人物多为儿童；含未成年角色的泳装／体型笑料、萤对小鞠的同床想象与单方倾慕。,有精确条目,228,0.03566686999892354
飞跃巅峰2！,top_wo_nerae_2_ova_2004,2004 OVA,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,副线,宇宙战争、组织排挤、能力丧失、胁迫性冲突、高风险战斗与分离。,有精确条目,229,0.042883710753746855
剧场版 悠哉日常大王 Vacation,non_non_biyori_vacation_movie_2018,2018 剧场动画,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,未成年角色旅行、浮潜与皮艇活动、离别哭泣；萤—小鞠的浪漫化阅读未在本片确认。,有精确条目,232,0.03162016642192854
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,kaleido_star_legend_phoenix_ova_2006,2006 OVA,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页,未知,母亲死亡与哀伤。,有精确条目,249,0.052564102564102565
BanG Dream! It's MyGO!!!!!,bang_dream_its_mygo_tv_2023,2023 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,关系操控、强烈依赖与排斥、公开情绪崩溃、激烈争执、家庭困境,有精确条目,271,0.10567622152145413
向阳素描 沙英・寻 毕业篇,hidamari_sketch_sae_hiro_graduation_ova_2013,2013 OVA,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,无,升学考试压力、毕业与离别、共同体变化、日常喜剧中的身体与饮食玩笑。,有精确条目,280,0.07605177993527508
剧场版 魔法少女小圆 [前篇] 起始的物语,mahou_shoujo_madoka_magica_beginnings_movie_2012,2012 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,副线,死亡与战斗暴力、遗体与葬礼、欺骗性契约、身体／灵魂异化、绝望与自我牺牲、失恋与嫉妒、心理恐怖和悲剧性结尾。,有精确条目,286,0.04654341414286742
少女☆歌剧 Revue Starlight,shoujo_kageki_revue_starlight_tv_2018,2018 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,舞台化武器战斗、嫉妒与依存、离别、牺牲、时间循环,有精确条目,296,0.13177938882261173
幸运星 OVA,lucky_star_ova_2008,2008 OVA,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,无,幻想段中的强迫变装、强迫式羞耻台词和单向新娘角色扮演；身体与服装笑料、宠物闹剧和迷路。,有精确条目,301,0.004547454892181312
圣母在上 第3季,maria_sama_ga_miteru_ova_2006,2006 OVA,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,姊妹制度中的名分与权力压力、祥子对男性接触的强烈抗拒、婚约及家庭期待、单向执着、学园祭冲突与群体压力。,有精确条目,307,0.1597069597069597
玉响～毕业写真～,tamayura_sotsugyou_shashin_theatrical_ova_2015,2015 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页,副线,毕业与分别、升学／职业选择的不确定性、对已故父亲和遗物相机的回忆；没有范围内确认的女女恋爱。,有精确条目,312,0.03467029231815092
妖精森林的小不点,hakumei_to_mikochi_tv_2018,2018 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,野外遇险、受伤与中毒；绑架、帮派威胁及打斗；酒精和烟草；狩猎、捕鱼、屠宰与食用动物；泡澡／裸身相关台词；本范围没有确认的女女恋爱。,有精确条目,329,0.029162462159434913
蓦然回首,look_back_movie_2024,2024 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,校园暴力袭击与角色死亡、创伤和幸存者内疚、武器伤害、社会退缩与孤独、后段重现性叙事（仅字幕无法界定其现实或假设层级）。,有精确条目,356,0.002608468828797496
悠哉日常大王 Nonstop OAD,non_non_biyori_nonstop_oad_2022,2022 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,主要角色为小学生和中学生；含作业、羽毛球活动、轻微运动事故、照看幼童、蜡笔涂墙、轻度责备与照护者落泪；未作完整视听复核。,有精确条目,365,0.027475567029319563
终将成为你,yagate_kimi_ni_naru_tv_2018,2018 TV,主线,主线,明确交往,是,是,是,是,是,是,范围内版本、原作,出版渠道、故事／角色页,副线,突发且未事先询问的接吻、一处在拒绝主动接吻后继续发生的亲密行为、针对女性同性欲望的贬抑言论、丧亲与强烈自我否定。,有精确条目,384,0.168993993993994
佐贺偶像是传奇 复仇,zombieland_saga_revenge_tv_2021,2021 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,僵尸身体恐怖与血腥、洪水及灾害意象、历史政治暴力与处刑、工作压力、死亡与哀伤。,有精确条目,387,0.013341449804697408
少女与战车 最终章 第4话,girls_und_panzer_saishuushou_4_ova_2023,2023 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,未知,战车炮击、爆炸、碰撞、翻覆与竞技险情；开局失去核心队伍造成的压力；学校竞争与高风险比赛语境,有精确条目,397,0.049209932279909704
街角魔族 2丁目,machikado_mazoku_tv_2022,2022 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,喜剧化魔法战斗与受伤、梦境侵入、诅咒和记忆操控、魔法契约、家庭失踪与可能消失的威胁，以及未成年角色相关的身体变形笑料。,有精确条目,402,0.12972830387760487
魔法少女奈叶 The MOVIE 2nd A's,mahou_shoujo_lyrical_nanoha_movie_2nd_as_2012,2012 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,魔法战斗、儿童卷入危险、监护与病痛、牺牲与告别、家人式“爱”的语境区分,有精确条目,404,0.08369704749679076
佐贺偶像是传奇,zombieland_saga_tv_2018,2018 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,交通事故与死亡、僵尸身体恐怖和肢解／枪击、强制管理与言语羞辱、跨性别角色被旧名称呼及青春期焦虑、儿童死亡与亲子哀伤、偶像行业压力、雷击创伤、危险摩托车特技、失忆和抑郁退缩、舞台坍塌。,有精确条目,405,0.0030954812356395202
玲音,serial_experiments_lain_tv_1998,1998 TV,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,—,—,副线,自杀、枪击与死亡、未成年人性内容、隐私侵犯、记忆操纵、身体恐怖、家庭离弃、邪教式控制及药物。,有精确条目,414,0.009178117708063262
Go! Princess 光之美少女,go_princess_precure_tv_2015,2015 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,幻想战斗与未成年人遇险、反派操控情绪、家庭分离、短暂失忆、职业与家庭期待冲突、单向婚约笑料,有精确条目,419,0.028409090909090908
向阳素描×蜂窝,hidamari_sketch_honeycomb_tv_2012,2012 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,升学考试与毕业焦虑、同住伙伴的离别、夏目的害羞推拉、日常身体和饮食玩笑。,有精确条目,421,0.07996406109613657
圣母在上 第4季,maria_sama_ga_miteru_tv_2009,2009 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,姊妹制度中的名分与权力压力、领养与失亲创伤、害怕被抛弃、家出、选举竞争、误解与拒绝、男性婚约背景。,有精确条目,424,0.14867388868135972
草莓棉花糖,ichigo_mashimaro_tv_2005,2005 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,成年人频繁吸烟与饮酒、夸张肢体冲突和捉弄、围绕小学生角色的洗浴／身体与穿衣笑料。,有精确条目,453,0.044583333333333336
《ray 超かぐや姫！Version》MV,ray_chou_kaguya_hime_version_mv_2026,2026 音乐动画,未知,未知,未知,否,否,否,否,所核未见,所核未见,范围内版本,可见宣传,未知,快速音乐剪辑、舞台／表演意象及与长篇电影相连的语境。,有精确条目,458,0.12304526748971194
少女与战车 最终章 第1话,girls_und_panzer_saishuushou_1_ova_2018,2018 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,战车炮击、爆炸、碰撞与竞技险情；升学压力；粗鲁笑料；跨校竞争。,有精确条目,466,0.057230597431602456
圣母在上 春,maria_sama_ga_miteru_haru_tv_2004,2004 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,姊妹制度中的名分和选择压力、毕业分离、亲吻请求、嫉妒、校内传闻、年龄差与师生权力风险。,有精确条目,478,0.16810792113455553
摇曳百合♪♪,yuru_yuri_second_season_tv_2012,2012 TV,主线,重要副线,明确欲望,否,是,是,是,是,所核未见,范围内版本、原作,HTML 元数据、故事／角色页、可见宣传,无,中学生角色的亲吻、婚姻和恋爱想象被用于喜剧，部分肢体接触与恋爱台词属于角色扮演或幻想。,有精确条目,481,0.11923764145324597
少女与战车 最终章 第2话,girls_und_panzer_saishuushou_2_ova_2020,2020 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,战车炮击、爆炸、碰撞与竞技险情；留级、升学与家庭压力；女子学园之间的竞赛；本话为未完结系列的一部分,有精确条目,492,0.05286269211281878
悠哉日常大王 Repeat OAD,non_non_biyori_repeat_oad_2016,2016 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,未成年女学生、雪地跌落、恶梦与追逐的轻度喜剧场面；未作视听复核。,有精确条目,495,0.039713440274100606
凡尔赛玫瑰,versailles_no_bara_tv_1979,1979 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,—,—,主导,战争与革命暴力、处决与死亡、自杀、强迫婚姻、阶级压迫、明确拒绝后仍持续的身体控制与亲密边界侵犯。,有精确条目,506,0.055663117134559535
兽娘动物园,kemono_friends_tv_2017,2017 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,追逐与捕食玩笑、怪物袭击和持续生命危险、失忆与人格消失威胁、身份及物种不确定、世界背景谜团、短暂分离、温泉脱衣与身体差异喜剧。,有精确条目,516,0.05450183671939426
向山进发 第三季,yama_no_susume_third_season_tv_2018,2018 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,登山与天气风险、恐高焦虑、朋友冲突和分离不安。,有精确条目,518,0.1208324009845603
向阳素描×365,hidamari_sketch_x365_tv_2008,2008 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,未记录,有精确条目,527,0.07757296466973887
圣母在上,maria_sama_ga_miteru_tv_2004,2004 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,副线,家族婚约与婚姻压力、亲属间姊妹关系、心脏手术、未成年出走计划、宗教志愿与同性爱恋冲突、分离及强烈情绪困扰。,有精确条目,530,0.15332757130509939
魔法少女奈叶A's,mahou_shoujo_lyrical_nanoha_as_tv_2005,2005 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,儿童战斗与重伤、住院与身体障碍、主从制度、牺牲与告别、家庭式“爱”需与恋爱区分,有精确条目,535,0.0891025641025641
悠哉日常大王 OAD,non_non_biyori_okinawa_oad_2014,2014 OVA,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,未知,主要角色包括小学生和中学生；旅行准备、乘机与泳衣赠与的英语字幕文字已审阅，未作视频复核。,有精确条目,557,0.033028720626631855
剧场版 吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,hibike_euphonium_kitauji_movie_2016,2016 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,副线,总集篇压缩、浪漫化对白与音乐仰慕并置、师生权力差异、独奏选拔和竞赛压力。,有精确条目,576,0.026168224299065422
时光流逝，饭菜依旧美味,hibi_wa_sugiredo_meshi_umashi_tv_2025,2025 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,社交孤立与焦虑；减重、体重焦虑和运动；短暂行车故障与户外烹饪风险；轻度怪谈喜剧和被锁在校舍；本次 TV 范围没有女女恋爱确认。,有精确条目,579,0.026497937495630286
摇曳百合,yuru_yuri_tv_2011,2011 TV,主线,重要副线,明确欲望,否,是,是,是,是,所核未见,原作,出版渠道,无,中学生角色的性化玩笑与幻想、拒绝和逃开后仍被追逐求吻、洗浴情节、夸张肢体冲突与纠缠。,有精确条目,606,0.1309183202584218
小魔女学园,little_witch_academia_tv_2017,2017 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,校园排斥与嘲弄、魔法造成的非自愿情感变化、情绪操纵与抽取、幻想战斗和生命危险、梦境／身体异变画面、导弹危机。,有精确条目,607,0.05393546027973307
向阳素描×☆☆☆,hidamari_sketch_hoshimittsu_tv_2010,2010 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,副线,升学与前辈离开、饮食和身体玩笑、男性关注及嫉妒话题、手机小说中的恋爱词汇。,有精确条目,617,0.08472432979261507
草莓棉花糖 OVA 第1期,ichigo_mashimaro_ova_2007,2007 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,成年人吸烟饮酒、夸张肢体冲突与恶作剧、小学生角色的洗浴／身体／穿衣笑料、远行与公共场所安全风险。,有精确条目,631,0.04582743988684583
淡岛百景,awajima_hyakkei_tv_2026,2026 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,并行,校园排挤与集体孤立、性化流言和辱骂、以死亡表达绝望及自杀意念、丧亲与病逝、家庭语言虐待、职业竞争与权力不对等、公开受害经历的伦理争议。,有精确条目,632,0.07548187087208519
草莓棉花糖 OVA 第2期,ichigo_mashimaro_encore_ova_2009,2009 剧场 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,成年人吸烟与饮酒、夸张恶作剧和肢体冲突、小学生角色的身体与穿衣笑料、关于成长和分别的轻度感伤。,有精确条目,635,0.042278332354668234
少女与战车,girls_und_panzer_tv_2012,2012 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,被迫选修；学校存续压力；军事装备竞技、炮击和车辆遇险；以男性恋爱为对象的喜剧台词,有精确条目,642,0.08788348654336028
摇曳百合 3☆High!,yuru_yuri_san_hai_tv_2015,2015 TV,主线,重要副线,明确欲望,否,是,是,是,是,所核未见,范围内版本、原作,HTML 元数据、故事／角色页、可见宣传,无,中学生角色的约会、亲吻与“女朋友”语汇常处于喜剧或排练情境；欲望方向并不对称。,有精确条目,646,0.13335855480942022
少女与战车 最终章 第3话,girls_und_panzer_saishuushou_3_ova_2021,2021 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,战车炮击、爆炸、碰撞、翻覆与夜战；升学、毕业与学校延续压力；本篇为未完结系列的一部分,有精确条目,651,0.04658516020236088
