作品名称,女女关系层级,百合归档结论,女女恋爱位置,女女关系最高明确度,关系构成,身份依据类型,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,阅读层级,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标记比例,Bangumi 维基百合公共标签,Anime-Planet GL 标签,AniList Yuri 相关度,MyAnimeList Girls Love 标签
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,主线,文类外百合阅读,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本、原作,出版渠道、故事／角色页,正篇事实＋强推断＋读者解读,副线,母亲死亡与哀伤。,有可对应条目,252,0.052463211772232884,有,无,无可对应条目,无可对应条目
BanG Dream! It's MyGO!!!!!,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,关系操控与依赖、排斥和遗弃、激烈争执、公开情绪崩溃、家庭困境,有可对应条目,271,0.10545711011196332,无,无,62,无
向阳素描 沙英・寻 毕业篇,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,升学压力、毕业离别、共同生活结束、饮食与身体玩笑,有可对应条目,281,0.07580645161290323,有,无,20,无
剧场版 魔法少女小圆 [前篇] 起始的物语,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,副线,死亡与战斗暴力、遗体与葬礼、欺骗性契约、身体与灵魂异化、绝望、自我牺牲、失恋、嫉妒、心理恐怖和悲剧性结尾。,有可对应条目,285,0.046413199426111905,有,无,60,无
少女☆歌剧 Revue Starlight,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,舞台化武器战斗、嫉妒与依存、离别、牺牲、时间循环。,有可对应条目,294,0.13177373663529196,有,无,79,无
幸运星 OVA,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,幻想段中的强迫变装、强迫式羞耻台词和单向新娘角色扮演；身体与服装笑料、宠物闹剧和迷路。,有可对应条目,302,0.0045232363026191,无,无,0,无
圣母在上 第3季,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,姊妹制度中的名分与权力压力、祥子对男性接触的强烈抗拒、婚约及家庭期待、单向执着、学园祭冲突与群体压力。,有可对应条目,303,0.15985401459854015,有,有,80,有
玉响～毕业写真～,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页,正篇事实＋强推断＋读者解读,副线,毕业与分别、升学／职业选择的不确定性、对已故父亲和遗物相机的回忆；没有范围内确认的女女恋爱。,有可对应条目,311,0.034552845528455285,有,无,0,无
妖精森林的小不点,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,野外遇险、受伤与中毒；绑架、帮派威胁与打斗；酒精和烟草；狩猎、捕鱼、屠宰与食用动物；泡澡／裸身相关台词；范围内没有确认的女女恋爱。,有可对应条目,329,0.029278599456685782,无,无,0,无
蓦然回首,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋读者解读,无,校园暴力袭击与角色死亡、创伤和幸存者内疚、武器伤害、社会退缩与孤独、后段重现性叙事。,有可对应条目,357,0.002594482400761048,无,无,48,无
悠哉日常大王 Nonstop OAD,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,主要角色为小学生和中学生；含作业、羽毛球活动、轻微运动事故、照看幼童、蜡笔涂墙、轻度责备与照护者落泪；未作完整视听复核。,有可对应条目,364,0.02753303964757709,有,无,0,无
终将成为你,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本、原作,出版渠道、故事／角色页,正篇事实＋强推断,副线,突发且未事先询问的接吻、一处在拒绝主动接吻后继续发生的亲密行为、针对女性同性欲望的贬抑言论、丧亲与强烈自我否定。,有可对应条目,380,0.16847239286645072,有,有,98,有
佐贺偶像是传奇 复仇,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,僵尸身体恐怖与血腥、洪水及灾害意象、历史政治暴力与处刑、工作压力、死亡与哀伤。,有可对应条目,389,0.013390601313794846,无,无,0,无
少女与战车 最终章 第4话,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,战车炮击、爆炸、碰撞、翻覆与竞技险情；学校竞争与高风险比赛语境,有可对应条目,395,0.04921348314606742,有,无,0,无
街角魔族 2丁目,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,喜剧化魔法战斗与受伤、梦境侵入、诅咒和记忆操控、魔法契约、家庭失踪与可能消失的威胁，以及未成年角色相关的身体变形笑料。,有可对应条目,402,0.1297493299700457,有,无,50,无
佐贺偶像是传奇,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,副线（一次女对男好感表达及成年女性婚姻家庭回忆；无确立情侣）,交通事故与死亡、僵尸身体恐怖和肢解／枪击、强制管理与言语羞辱、跨性别角色被旧名称呼及青春期焦虑、儿童死亡与亲子哀伤、偶像行业压力、雷击创伤、危险摩托车特技、失忆和抑郁退缩、舞台坍塌。,有可对应条目,404,0.00311447276425348,无,无,0,无
魔法少女奈叶 The MOVIE 2nd A's,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,魔法战斗、儿童卷入危险、监护与病痛、牺牲与告别、家人式“爱”的语境区分,有可对应条目,405,0.08369593038136677,有,无,73,无
玲音,重要副线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,副线,自杀、枪击与死亡、未成年人性内容、隐私侵犯、记忆操纵、身体恐怖、家庭离弃、邪教式控制及药物。,有可对应条目,415,0.009144451332920025,无,无,40,无
向阳素描×蜂窝,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,升学考试压力、毕业与分离焦虑、害羞推拉、身体与饮食笑料。,有可对应条目,419,0.08041853512705531,有,无,10,无
圣母在上 第4季,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,姊妹制度中的名分与权力压力、领养与失亲创伤、害怕被抛弃、家出、选举竞争、误解与拒绝、男性婚约背景。,有可对应条目,422,0.1487695749440716,有,有,75,有
Go! Princess 光之美少女,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,幻想战斗与未成年人遇险、反派操控情绪、家庭分离、短暂失忆、职业与家庭期待冲突、单向婚约笑料,有可对应条目,423,0.028762198253723677,无,无,0,无
《ray 超かぐや姫！Version》MV,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,分离、悲伤、身体亲密、快速剪辑与舞台演出。,有可对应条目,452,0.12408163265306123,有,无可对应条目,85,无
草莓棉花糖,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,成年人频繁吸烟与饮酒、夸张肢体冲突和捉弄、围绕小学生角色的洗浴／身体与穿衣笑料。,有可对应条目,453,0.04462895692786715,有,无,0,无
少女与战车 最终章 第1话,主线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,战车炮击、爆炸、碰撞与翻覆；升学与留级压力；校际竞争和欺敌战术,有可对应条目,467,0.05744089012517385,有,无,0,无
圣母在上 春,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线（江利子向成年男性教师求婚并被拒）,姊妹制度中的名分和选择压力、毕业分离、亲吻请求、嫉妒、校内传闻、年龄差与师生权力风险。,有可对应条目,478,0.16793103448275862,有,有,77,有
摇曳百合♪♪,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,所核未见,范围内版本、原作,HTML 元数据、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,中学生角色的亲吻、婚姻和恋爱想象被用于喜剧，部分肢体接触与恋爱台词属于角色扮演或幻想。,有可对应条目,479,0.11905608917348512,有,有,84,有
少女与战车 最终章 第2话,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,战车炮击、碰撞与翻覆；升学和家庭照护压力；系列比赛未完结,有可对应条目,494,0.052844160215415686,有,无,0,无
悠哉日常大王 Repeat OAD,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断,无,未成年女学生、雪地跌落、恶梦与追逐的轻度喜剧场面；未作视听复核。,有可对应条目,495,0.03975772635502407,有,无,0,无
凡尔赛玫瑰,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,主导,战争、革命、处刑、死亡、阶级暴力、政治压迫、强迫身体接触、性别角色冲突与恋爱悲剧。,有可对应条目,508,0.055903614457831326,有,无,0,无
向山进发 第三季,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,登山与天气风险、恐高焦虑、朋友冲突、吃醋与分离不安。,有可对应条目,516,0.12063775225777679,有,无,0,无
兽娘动物园,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／读者解读,无,怪物袭击与生命危险、身份及物种不确定、短暂分离、温泉脱衣与身体差异喜剧。,有可对应条目,517,0.054537293334330814,有,无,20,无
向阳素描×365,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未记录,未记录,未记录,有可对应条目,528,0.07886676875957122,有,无,20,无
圣母在上,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实＋强推断＋读者解读,副线,家族婚约与婚姻压力、亲属间姊妹关系、心脏手术、未成年出走计划、宗教志愿与同性爱恋冲突、分离及强烈情绪困扰。,有可对应条目,532,0.15299793246037216,有,有,77,有
魔法少女奈叶A's,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,儿童战斗与重伤、住院与身体障碍、主从制度、牺牲与告别、家庭式“爱”需与恋爱区分,有可对应条目,535,0.08954509177972865,有,无,60,无
悠哉日常大王 OAD,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,无,主要角色包括小学生和中学生；含旅行准备与泳衣赠与。,有可对应条目,559,0.032916991933385376,有,无,0,无
剧场版 吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,副线,总集篇压缩、少女对成年男教师的单向爱恋、独奏选拔与竞赛压力。,有可对应条目,579,0.02608047690014903,无,无,0,无
时光流逝，饭菜依旧美味,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,无,社交孤立、轻度误会、饮食与体重话题,有可对应条目,584,0.026520952248364194,无,无,0,无
