作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
异国日记,2026,TV 动画,2026 年 1 月至 3 月播出的 TV 动画正篇第 1–13 话；该 TV 版官网的故事、角色与分话介绍；与 Bangumi 493016、AniList 177385、MyAnimeList 58788 精确对应的公开数据库字段,主线,非百合,缺席,非恋爱,7,主线 1、重要副线 4、局部 2,非恋爱 7,双向 5、相互性未确认 2,高代槙生与田汲朝的姑侄照护与共同生活（主线／非恋爱／双向）；高代槙生与高代实里的姐妹关系（重要副线／非恋爱／相互性未确认）；田汲朝与高代实里的母女关系（重要副线／非恋爱／相互性未确认）；田汲朝与楢えみり的亲友关系及有限恋爱开放性（重要副线／非恋爱／双向）；高代槙生与女性朋友及作家同伴的成人共同体（重要副线／非恋爱／双向）；田汲朝与森本千世的同学关系（局部／非恋爱／双向）；田汲朝与轻音部女性成员的共同体（局部／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,范围内无依据,副线,中,否,否,否,否,否,是,否,否,是,是,否,是,parental_death_in_traffic_accident；bereavement_and_grief；family_estrangement_and_verbal_harm；minor_guardianship_and_household_adjustment；adolescent_relationship_pressure；depression_discussion；past_romantic_breakup,日常,日本,漫画改,64,0.00082403999340768,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/ikoku_nikki_tv_2026/
轻音少女 剧场版,2011,剧场动画,2011 年 12 月 3 日上映的《映画けいおん！》剧场版正片；电影本体约 110 分钟的剧情、对白、片中歌曲所指向的关系与电影版本公开宣传,主线,文类内百合,缺席,非恋爱,3,主线 2、局部 1,非恋爱 3,双向 3,放课后茶会五名成员的乐队共同体（主线／非恋爱／双向）；中野梓与四名毕业学姐的前后辈照护关系（主线／非恋爱／双向）；平泽唯与平泽忧的姐妹关系（局部／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,毕业与离别压力；前后辈关系和成员即将分开的伤感；旅行与舞台演出中的喜剧性身体尴尬；片中歌曲使用‘天使’‘最喜欢’等强烈情感词，但歌词明确置于友情与乐队共同体语境,校园,日本,漫画改,65,0.04435829905601752,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/k_on_movie_2011/
英雄联盟：双城之战,2021,WEB 动画,2021 年上线的第一季第 1–9 集,主线,文类内百合,重要副线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,Vi—Powder／Jinx（主线／非恋爱／双向）；Vi—Caitlyn（重要副线／潜在恋爱／相互性未确认）,所核未见,所核未见,,,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,"war, class oppression, firearm and explosive violence；deaths including child deaths；childhood trauma and family separation；suicidal ideation and an interrupted suicide attempt；imprisonment, violent interrogation, and police violence；drug dependence and human experimentation；psychological trauma, hallucinations, and paranoia；brothel setting and a heterosexual sex scene",奇幻、战斗,欧美、美国,游戏改,69,0.011491760624457935,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/arcane_season_1_web_2021/
赛马娘 Pretty Derby 第二季,2021,TV 动画,2021 TV 动画第二季播出的第 1–13 话,主线,文类内百合,主线,潜在恋爱,3,主线 2、重要副线 1,潜在恋爱 1、非恋爱 2,双向 2、相互性未确认 1,东海帝王—目白麦昆（主线／潜在恋爱／相互性未确认）；队伍 Spica 女性成员共同体（主线／非恋爱／双向）；北部玄驹—里见光钻（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,是,否,否,repeated leg fractures and serious race injuries；long rehabilitation and fear of career-ending recurrence；intense competition and performance pressure；grief over loss of a running future；ambiguous romantic wording that remains within rivalry and shared-dream contexts,运动,日本,原创,71,0.05307302964569776,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/uma_musume_pretty_derby_season_2_tv_2021/
孤独摇滚！,2022,TV 动画,2022 年 TV 动画播出第 1–12 话,主线,文类内百合,局部,明确欲望,4,主线 1、重要副线 2、局部 1,明确欲望 1、非恋爱 3,双向 3、单向 1,纽带乐队四人（主线／非恋爱／双向）；喜多郁代与山田凉（局部／明确欲望／单向）；后藤一里与伊地知虹夏（重要副线／非恋爱／双向）；后藤一里与喜多郁代（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,无,高,否,否,否,是,是,是,是,否,是,是,否,否,severe_social_anxiety_and_avoidance；repeated_self_denigration；exaggerated_body_breakdown_and_death_imagery；adult_alcohol_dependence_and_intoxication；borrowing_money_without_repayment_and_interpersonal_manipulation；public_embarrassment；unsafe_stage_dive_and_minor_injury,日常、音乐,日本,漫画改,72,0.028811240330474136,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/bocchi_the_rock_tv_2022/
偶像大师,2011,TV 动画,2011 年播出的 TV 动画第 1–25 话,主线,文类内百合,局部,明确欲望,3,主线 1、重要副线 1、局部 1,明确欲望 1、非恋爱 2,双向 2、单向 1,765Pro 女性共同体（主线／非恋爱／双向）；女观众—真（局部／明确欲望／单向）；春香—千早（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,副线,高,否,否,否,是,是,是,否,否,否,是,否,否,underage_idol_swimwear_gravure_body_commentary_and_wedding_model_work；entertainment_industry_overwork_and_schedule_pressure；fabricated_scandal_covert_photography_and_career_sabotage；childcare_responsibility_and_family_financial_stress；parental_divorce_sibling_death_grief_and_trauma_response；stage_accident_injury_and_hospitalization；gender_role_expectations_and_femininity_related_distress,音乐,日本,游戏改,83,0.0027345497936657882,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/the_idolmaster_tv_2011/
摇曳露营△ 第二季,2021,TV 动画,2021 年 TV 动画第二季正式播出的第 1–13 话,主线,文类内百合,缺席,非恋爱,2,主线 2,非恋爱 2,双向 2,志摩凛与各务原抚子的共同露营与相互照护（主线／非恋爱／双向）；野外活动社与凛、惠那组成的女性露营共同体（主线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,夜间独行、低温、交通与露营安全风险；露营用火、燃气和野外环境风险；少量公共浴池或泡澡场景；本季未确认女女恋爱，也没有持续男性恋爱线,日常,日本,漫画改,89,0.04777327935222672,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/yuru_camp_season_2_tv_2021/
少女与战车 剧场版,2015,剧场动画,2015 年 11 月 21 日上映的《ガールズ＆パンツァー 劇場版》正片（1 部，约 119 分钟）,主线,文类外百合阅读,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,西住美穗与大洗女子学园战车道队的团队关系（主线／非恋爱／双向）；大洗与盟校少女队伍之间由比赛形成的友情、竞争与互助（重要副线／非恋爱／双向）；西住美穗与西住真穗的姐妹关系及相互承认（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,否,是,否,否,学校存续危机与被迫参加高风险比赛；战车炮击、爆炸、碰撞、翻覆和其他竞技险情；少女队伍之间的激烈竞争与军事化训练语境；局部异性恋笑料与关系期待落空的玩笑,战斗,日本,原创,91,0.05816176470588235,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/girls_und_panzer_movie_2015/
幸运星,2007,TV 动画,2007 年播出的 TV 动画正篇第 1–24 话,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 2,此方、镜、司、美幸及两代女性朋友共同体（主线／非恋爱／双向）；小早川丰与岩崎南（重要副线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,sexualization_of_school_age_characters_and_lolicon_jokes；sexualized_doujin_fantasies_about_school_friends；bereavement_and_early_death_of_a_parent；illness_and_body_size_jokes；reckless_driving_comedy,日常、校园,日本,漫画改,92,0.004573242974266622,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/lucky_star_tv_2007/
吹响吧！上低音号,2015,TV 动画,2015 年 TV 动画第一季播出的第 1–13 话,主线,文类内百合,主线,潜在恋爱,4,主线 1、重要副线 3,潜在恋爱 1、非恋爱 3,双向 2、相互性未确认 2,黄前久美子与高坂丽奈的和解、互相选择与演奏搭档关系（主线／潜在恋爱／双向）；黄前久美子、加藤叶月与川岛绿辉的一年级朋友关系（重要副线／非恋爱／双向）；中世古香织与吉川优子的前后辈信任与维护关系（重要副线／非恋爱／相互性未确认）；中世古香织与田中明日香的长期了解、仰慕与竞争关系（重要副线／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,a_schoolgirl_has_explicit_unrequited_romantic_desire_for_an_adult_teacher；student_teacher_power_difference_is_part_of_the_romantic_context；heterosexual_confession_and_rejection；school_club_factional_conflict；rumors_and_accusations_of_favoritism；public_competition_and_performance_pressure,校园、音乐,日本,小说改,95,0.053961829007130584,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/hibike_euphonium_tv_2015/
水星领航员 The AVVENIRE,2015,剧场 OVA,2015 年《ARIA The AVVENIRE》第 1–3 话正片；剧场公开版及之后按三话分装的正片内容,主线,文类内百合,缺席,非恋爱,5,主线 2、重要副线 3,非恋爱 5,双向 5,灯里—藍華—アリス的同期三人组（主线／非恋爱／双向）；灯里—アイ（主线／非恋爱／双向）；アイ—あずさ—アーニャ（重要副线／非恋爱／双向）；アリシア—晃—アテナ（重要副线／非恋爱／双向）；アリシア—灯里（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,是,是,否,否,告别、离职与职业转折带来的失落；师徒和前后辈关系中的权力差异；工作制度可能限制后辈成长的讨论；涉及未指名男性等待者的背景台词，但三话内没有形成男性恋爱叙事线,日常,日本,漫画改,102,0.013140817650876055,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/aria_the_avvenire_ova_2015/
轻音少女,2009,TV 动画,2009 年 TV 动画第 1–12 话；2009 年 6 月 25 日由 TBS 播出的追加第 13 话 Fuyu no Hi,主线,文类内百合,缺席,非恋爱,4,主线 1、重要副线 3,非恋爱 4,双向 4,放学后茶会／轻音部五人（主线／非恋爱／双向）；田井中律／秋山澪（重要副线／非恋爱／双向）；平泽唯／中野梓（重要副线／非恋爱／双向）；平泽唯／平泽忧（重要副线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,高,否,否,否,否,否,是,否,否,是,是,否,否,adult_teacher_coerces_students_into_performance_costumes；students_bodies_and_costumes_used_for_sexualized_comedy；performance_accident_and_public_body_embarrassment；slapstick_hitting_and_physical_horseplay；adult_supporting_characters_romantic_rejection_and_boyfriend_jokes,日常、校园,日本,漫画改,103,0.008659719135345153,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/k_on_tv_2009/
百变之星,2003,TV 动画,2003 年 TV 动画第 1–26 话；第一系列的范围截止于 2003 年 10 月官方新系列开播之前,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,苗木野空—蕾拉·汉密尔顿的舞台搭档关系（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,high_risk_acrobatics；intense_training_and_overwork；sports_injury；career_rivalry；corporate_takeover_conflict,剧情、运动,日本,原创,112,0.039341262580054895,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/kaleido_star_tv_2003_part1/
摇曳露营△,2018,TV 动画,2018 年 TV 动画第一季正式播出的第 1–12 话,主线,文类内百合,缺席,非恋爱,2,主线 2,非恋爱 2,双向 2,志摩凛与各务原抚子（主线／非恋爱／双向）；凛、抚子、千明、葵与惠那的露营共同体（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,"a minor becomes lost and cold outdoors at night；campfire, gas fuel, low-temperature camping, solo travel and traffic hazards；an adult teacher drinks heavily and becomes intoxicated；brief communal bathing scenes；no confirmed female-female romance in the included TV episodes",日常,日本,漫画改,118,0.09417965739290421,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/yuru_camp_tv_2018/
少女革命 思春期默示录,1999,剧场动画,1999 年 8 月 14 日上映的剧场版正片一部；本片现实对白、回忆段落、片中歌曲、片尾歌曲与电影版本公开发行资料,主线,文类内百合,主线,明确欲望,2,主线 1、重要副线 1,明确欲望 1、潜在恋爱 1,双向 1、单向 1,天上乌蒂娜与姬宫安希（主线／明确欲望／双向）；有栖川树璃与高槻枝织（重要副线／潜在恋爱／单向）,所核未见,所核未见,企划／系列,出版载体,只有明确关系事实,副线,中,否,否,是,是,是,是,否,否,否,是,否,否,未成年角色与成人权力者之间的诱导和同意不对等语境；亲属／权力关系中的性化暗示、死亡与创伤意象；封闭学校制度、占有式订婚和强迫性角色分配；男性恋爱承诺被用于留置角色的叙事；裸体、身体变形、汽车与碰撞意象,,日本,原创,124,0.0964886825304701,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/shoujo_kakumei_utena_adolescence_movie_1999/
悠哉日常大王 Nonstop,2021,TV 动画,2021 年 TV 动画《Non Non Biyori Nonstop》正式播出的第 1–12 话,主线,文类内百合,重要副线,潜在恋爱,3,主线 1、重要副线 2,潜在恋爱 1、非恋爱 2,双向 2、相互性未确认 1,萤—小鞠（重要副线／潜在恋爱／相互性未确认）；莲华—穗乃香（重要副线／非恋爱／双向）；旭丘分校学生与邻里女性共同体（主线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,是,否,否,主要角色包含小学生与中学生，含泳装与身体成长相关的喜剧场景；萤围绕小鞠的玩偶、手作与害羞反应以喜剧节奏呈现；其恋爱含义在范围内未获确认；第11话含饮酒、醉态与未成年人在场的照护情节；范围内没有角色性取向身份自述或官方身份设定,日常,日本,漫画改,130,0.02279420426434209,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/non_non_biyori_nonstop_tv_2021/
比宇宙更远的地方,2018,TV 动画,2018 年播出的 TV 动画第 1–13 话,主线,文类内百合,缺席,非恋爱,4,主线 2、重要副线 2,非恋爱 4,双向 4,玉木マリ—小淵沢報瀬—三宅日向—白石結月（主线／非恋爱／双向）；玉木マリ—高橋めぐみ（重要副线／非恋爱／双向）；小淵沢報瀬—小淵沢貴子（主线／非恋爱／双向）；藤堂吟—小淵沢貴子（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,访谈／评论,范围内无依据,副线,高,否,否,否,否,否,是,否,否,是,是,否,否,parental_disappearance_death_and_bereavement；friendship_jealousy_rumor_spreading_and_sabotage；school_club_bullying_and_social_exclusion；seasickness_and_vomiting；sea_travel_and_extreme_environment_hazards,,日本,原创,147,0.033273460734371776,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/sora_yori_mo_tooi_basho_tv_2018/
来自新世界,2012,TV 动画,2012 年 9 月至 2013 年 3 月播出的《新世界より》TV 动画第 1—25 话；与 Bangumi subject 37785、AniList anime 13125、MyAnimeList anime 13125 和 Jimaku entry 701 对应的同一电视版本,重要副线,文类外百合阅读,重要副线,明确交往,3,重要副线 2、局部 1,明确交往 1、非恋爱 2,双向 1、不适用 2,渡边早季与秋月真理亚的友情、恋人关系和分离（重要副线／明确交往／双向）；渡边早季与朝比奈富子的指导和责任关系（重要副线／非恋爱／不适用）；渡边早季与吉美姊及失踪女性同学的亲情和失落（局部／非恋爱／不适用）,所核未见,所核未见,,,只有明确关系事实,并列,高,是,否,否,是,是,否,否,否,否,是,否,否,child_disappearance_and_death；mass_violence_and_war；body_horror_and_psychological_distress；memory_erasure_and_social_control；reproductive_control_and_coercive_social_norms；sexual_relationships_among_adolescents；bereavement_and_family_separation,悬疑、科幻,日本,小说改,156,0.0008951299337044393,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/shinsekai_yori_tv_2012/
少女终末旅行,2017,TV 动画,2017 年 TV 动画播出的第 1–12 话,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,チト—ユーリ（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,post_apocalyptic_setting；war_remnants_and_firearms；weapon_enabled_food_coercion_between_protagonists；food_and_fuel_scarcity；survival_danger；falls_and_height_danger；death_and_loneliness_themes,科幻,日本,漫画改,161,0.08979499205688782,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/shoujo_shuumatsu_ryokou_tv_2017/
